,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,1260.71,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,1260.71,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,1026.55,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,1388.46,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,,,,,127.224848697492,,,,,,,,,,,,,,
4,DOWN,,1664.88,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,166.426597090578,,,,129.4178885597778,,,,,,,,,,,,,,
5,DOWN,,1211.35,b'stride0001',b'stride0001',b'stride0001',b'stride0001',73.91736821015489,78.14565897859383,79.78925381519122,78.0944468103695,,,,,,,,,,,,,,,,,,,,,,171.81707676741684,,,,136.31141109363145,,,,,,,,,,,,,,
6,DOWN,,911.0,b'stance0001',b'stance0001',b'stride0001',b'stride0001',,,79.78925381519122,78.0944468103695,,,,,,174.75317007792066,,,,,,,,,,,,,,,,159.17992592358874,,,,137.45044007574788,,,21.06766316934016,40.544695636292474,84.21059791359387,43.601745978077446,26.327976391218584,26.703005850762185,,,,,,
7,DOWN,,1195.72,b'stance0001',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,174.75317007792066,,,,,,,,,,,,,,,,163.72829081391012,,,,134.55370753224378,,,21.06766316934016,40.544695636292474,84.21059791359387,43.601745978077446,26.327976391218584,26.703005850762185,,,,16.780845361235862,18.912435231418257,20.935839215109194
8,DOWN,,1591.82,b'stance0001',b'stance0001',b'stride0002',b'stance0001',,,0.0,,,,,,,174.75317007792066,,,,,,,,,,,,,,,,175.53756915759115,,,,129.54242665980985,,,21.06766316934016,40.544695636292474,84.21059791359387,43.601745978077446,26.327976391218584,26.703005850762185,,,,16.780845361235862,18.912435231418257,20.935839215109194
9,DOWN,,1603.75,b'stance0001',b'stance0001',b'stance0002',b'stance0001',,,,,,,,,,174.75317007792066,,,,,,,,,,,,,,,,177.76617844647862,,,,123.43044977890364,,,21.06766316934016,40.544695636292474,84.21059791359387,43.601745978077446,26.327976391218584,26.703005850762185,,,,16.780845361235862,18.912435231418257,20.935839215109194
